Name ,Payload Capacity ,Propellant Capacity ,Dry Mass ,Isp ,Time between launches ,Available from (update to proper time stamps): ,Launch Cost ,Domain ,Launch Vehicle Isp ,Fuel Type ,Assumtpions: ,Notes
Astrobotic Griffin ,625,3323.012662,1951.987338,320,12,3,97,"[0,0], [0,3], [3,4], [3,3], [4,4], [0,5], [5,3] ",348,Storable,Falcon Heavy Launch ,"https://experiorlabs.com/astrobotic-griffin-lunar-lander-large-and-heavy-vibration-for-space-applications/ , launch vehicle Vulcan-Centaur Isp from RL10 data sheet (also on Zotero)"
ispace APEX ,300,3700,2000,320,12,15,70,"[0,0], [0,3], [3,4], [3,3], [4,4], [0,5], [5,3] ",348,Storable,Launch mass approx. 6000 kg: falcon 9 mass to LTI ,https://ispace-inc.com/news-en/?p=4781
ispace S1 ,30,700,300,320,12,0,70,"[0,0], [0,3], [3,4], [3,3], [4,4], [0,5], [5,3] ",348,Storable, ,"https://www.mach5lowdown.com/wp-content/uploads/PUG/ispace_PayladUserGuide_v2_202001.pdf, falcon 9 launch vehicle"
Firefly Blue Ghost ,150,3379.33491,2465.66509,321,12,1,70,"[0,0], [0,3], [3,4], [3,3], [4,4], [0,5], [5,3] ",348,Storable,Launch mass approx. 6000 kg: falcon 9 mass to LTI ,"Blue Ghost - Firefly Aerospace, https://www.nammo.com/product/leros-4/"
Intuitive Machines Nova-C ,100,1267,675,320,12,0,70,"[0,0], [0,3], [3,4], [3,3], [4,4], [0,5], [5,3] ",348,CH4/LOX,Falcon 9 Launch ,"https://arstechnica.com/science/2021/05/for-lunar-cargo-delivery-nasa-accepts-risk-in-return-for-low-prices/, Falcon 9 Upper stage"
Blue Moon HLS ,20000,29000,16000,420,12,24,68,"[0,0], [0,2], [2,2], [2,3], [3,2], [3,3], [3,4], [4,3], [4,4] ",450,LH2/LOX,NASA selects Blue Origin to develop second Artemis lunar lander - SpaceNews ,"https://www.space.com/42010-moon-race-lunar-tech-2024-blue-origin-airbus.html, assume 450s Isp for new glenn upper stage (hydrogen fuel)"
Starship,100000,1200000,100000,380,12,15,100,"[0,0], [0,1], [1,2], [2,2], [2,3], [3,2], [3,3], [3,4], [4,3], [4,4] ",380,CH4/LOX, ,
Orion ,11803.07495,22000,16520,316,12,0,2200,"[0,0], [0,2], [2,2], [2,0] ",460.1,Storable,Increased propellant capacity from real-life Orion due to increased dV requirements. Still consistent with an upgraded SLS launch. ,"https://en.wikipedia.org/wiki/European_Service_Module, https://en.wikipedia.org/wiki/Orbital_Maneuvering_System"
